"Longitude","Latitude","Elevation","Altitude","Clutter_height","Distance","Path_Loss"
3.164468486,6.678088675,56,62,4,380,"E"
3.164486487,6.678088889,56,62,4,381,"E"
3.164495381,6.678097995,56,62,4,382,"E"
3.164495381,6.678097995,56,62,4,382,"F"
3.164504381,6.678098102,56,62,4,383,"F"
3.164531383,6.678098423,56,62,4,384,"F"
3.164531383,6.678098423,56,62,4,384,"F"
3.164558277,6.678107742,56,62,4,387,"F"
3.164558277,6.678107742,56,62,4,387,"E"
3.164567278,6.678107849,56,62,4,387,"E"
3.164576278,6.678107956,56,62,4,388,"E"
3.164585279,6.678108063,56,62,4,388,"E"
3.164585279,6.678108063,56,62,4,388,"F"
3.164603173,6.678117276,56,62,4,390,"F"
3.164612174,6.678117383,56,62,4,391,"F"
3.164621174,6.67811749,56,62,4,391,"F"
3.164621174,6.67811749,56,62,4,391,"E"
3.164630175,6.678117597,56,62,4,392,"E"
3.164648069,6.67812681,56,62,4,393,"E"
3.164657069,6.678126917,56,62,4,394,"E"
3.164657069,6.678126917,56,62,4,394,"F"
3.164684071,6.678127238,56,62,4,395,"F"
3.164683964,6.678136237,56,62,4,396,"E"
3.164710966,6.678136557,56,62,4,398,"E"
3.164710966,6.678136557,56,62,4,398,"F"
3.164719966,6.678136664,56,62,4,398,"F"
3.164746861,6.678145984,56,62,4,401,"F"
3.164746861,6.678145984,56,62,4,401,"E"
3.164755861,6.678146091,56,62,4,401,"E"
3.164764862,6.678146198,56,62,4,402,"E"
3.164773755,6.678155304,56,62,4,403,"E"
3.164773755,6.678155304,56,62,4,403,"F"
3.164782756,6.678155411,56,62,4,404,"F"
3.164800757,6.678155625,56,62,4,405,"F"
3.164809758,6.678155732,56,62,4,405,"F"
3.164809758,6.678155732,56,62,4,405,"E"
3.164818758,6.678155839,56,62,4,406,"E"
3.164836652,6.678165052,56,62,4,408,"E"
3.164845653,6.678165158,56,62,4,408,"F"
3.164872654,6.678165479,56,62,4,410,"F"
3.164872654,6.678165479,56,62,4,410,"E"
3.164881655,6.678165586,56,62,4,411,"E"
3.16490855,6.678174906,56,62,4,413,"E"
3.16490855,6.678174906,56,62,4,413,"E"
3.16491755,6.678175013,56,62,4,414,"E"
3.164944445,6.678184333,56,62,4,416,"E"
3.164944445,6.678184333,56,62,4,416,"F"
3.164971446,6.678184654,56,62,4,418,"F"
3.164971446,6.678184654,56,62,4,418,"F"
3.164980447,6.678184761,56,62,4,419,"F"
3.164989448,6.678184868,56,62,4,419,"F"
3.165007342,6.67819408,56,62,4,421,"F"
3.165007342,6.67819408,56,62,4,421,"E"
3.165025343,6.678194294,56,62,4,422,"E"
3.165034343,6.678194401,56,62,4,423,"E"
3.165043344,6.678194508,56,62,4,423,"E"
3.165043344,6.678194508,56,62,4,423,"F"
3.165052237,6.678203614,56,62,4,425,"F"
3.165079239,6.678203935,56,62,4,427,"F"
